index,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
39,AUS,HEALTHEXP,TOT,PC_GDP,A,2010,8.431
136,AUT,HEALTHEXP,TOT,PC_GDP,A,2010,10.221
186,BEL,HEALTHEXP,TOT,PC_GDP,A,2010,10.234
252,CAN,HEALTHEXP,TOT,PC_GDP,A,2010,10.659
314,CZE,HEALTHEXP,TOT,PC_GDP,A,2010,6.928
392,DNK,HEALTHEXP,TOT,PC_GDP,A,2010,10.333
491,FIN,HEALTHEXP,TOT,PC_GDP,A,2010,9.114
574,FRA,HEALTHEXP,TOT,PC_GDP,A,2010,11.24
656,DEU,HEALTHEXP,TOT,PC_GDP,A,2010,11.097
737,GRC,HEALTHEXP,TOT,PC_GDP,A,2010,9.516
782,HUN,HEALTHEXP,TOT,PC_GDP,A,2010,7.508
861,ISL,HEALTHEXP,TOT,PC_GDP,A,2010,8.532
946,IRL,HEALTHEXP,TOT,PC_GDP,A,2010,10.503
1015,ITA,HEALTHEXP,TOT,PC_GDP,A,2010,8.916
1115,JPN,HEALTHEXP,TOT,PC_GDP,A,2010,9.157
1189,KOR,HEALTHEXP,TOT,PC_GDP,A,2010,5.917
1283,LUX,HEALTHEXP,TOT,PC_GDP,A,2010,7.031
1328,MEX,HEALTHEXP,TOT,PC_GDP,A,2010,5.975
1396,NLD,HEALTHEXP,TOT,PC_GDP,A,2010,10.155
1468,NZL,HEALTHEXP,TOT,PC_GDP,A,2010,9.586
1554,NOR,HEALTHEXP,TOT,PC_GDP,A,2010,8.906
1614,POL,HEALTHEXP,TOT,PC_GDP,A,2010,6.419
1693,PRT,HEALTHEXP,TOT,PC_GDP,A,2010,9.837
1736,SVK,HEALTHEXP,TOT,PC_GDP,A,2010,7.742
1808,ESP,HEALTHEXP,TOT,PC_GDP,A,2010,9.119
1886,SWE,HEALTHEXP,TOT,PC_GDP,A,2010,8.336
1956,CHE,HEALTHEXP,TOT,PC_GDP,A,2010,10.276
2026,TUR,HEALTHEXP,TOT,PC_GDP,A,2010,5.054
2114,GBR,HEALTHEXP,TOT,PC_GDP,A,2010,9.989
2194,USA,HEALTHEXP,TOT,PC_GDP,A,2010,16.345
2263,BRA,HEALTHEXP,TOT,PC_GDP,A,2010,7.945
2281,CHL,HEALTHEXP,TOT,PC_GDP,A,2010,6.775
2321,CHN,HEALTHEXP,TOT,PC_GDP,A,2010,4.194
2340,EST,HEALTHEXP,TOT,PC_GDP,A,2010,6.272
2381,IND,HEALTHEXP,TOT,PC_GDP,A,2010,3.375
2399,IDN,HEALTHEXP,TOT,PC_GDP,A,2010,2.961
2442,ISR,HEALTHEXP,TOT,PC_GDP,A,2010,7.017
2486,RUS,HEALTHEXP,TOT,PC_GDP,A,2010,4.959
2504,SVN,HEALTHEXP,TOT,PC_GDP,A,2010,8.565
2541,ZAF,HEALTHEXP,TOT,PC_GDP,A,2010,7.415
6154,COL,HEALTHEXP,TOT,PC_GDP,A,2010,7.071
6299,LVA,HEALTHEXP,TOT,PC_GDP,A,2010,6.138
6397,LTU,HEALTHEXP,TOT,PC_GDP,A,2010,6.834
6618,OAVG,HEALTHEXP,TOT,PC_GDP,A,2010,8.696
6674,CRI,HEALTHEXP,TOT,PC_GDP,A,2010,8.113
6741,BGR,HEALTHEXP,TOT,PC_GDP,A,2010,7.141
6807,HRV,HEALTHEXP,TOT,PC_GDP,A,2010,8.104
6857,CYP,HEALTHEXP,TOT,PC_GDP,A,2010,6.518
6925,MLT,HEALTHEXP,TOT,PC_GDP,A,2010,8.21
6975,ROU,HEALTHEXP,TOT,PC_GDP,A,2010,5.769
